id,QT,GK,TH,CK,TBM,TBTL
870,9,6,7,3.5,5.6,6
873,8, ,8,5, ,7.75
876,10,7, , , ,7.05
877,7.5, ,8.5,6.5, ,7.64
878,8, ,7.5,5, ,7.2
881,5.5,4.5,7,4.5,5.4,6.96
882,0,6,3.5,3,3.5,4.52
884,10,8, , , ,7.01
886, , , ,1, ,7.75
887,4.5,9,9.5,7,7.9,7.64
890,7.5,8,7.5,7,7.4,7.27
894,5,4,4,6.5,5.1,4.91
896, , , ,5.5, ,8.38
898,2.5,8,7,7,6.8,7.97
901,8,5.5,8,7,7.1,7.14
903,8, ,8,2, ,4.99
904,8,6,8.5,7.5,7.6,7.77
905, , , ,2, ,7.01
906,7,9,9,8,8.4,7.43
907,6.5, ,5.5,7, ,6.42
908,8,6,6.5,8.5,7.4,7.76
910,9,5,6,6,6.1,7.03
911,10,9.5, , , ,8.25
914,5, ,7,7, ,8.46
915,4.5,3,7,3,4.4,5.38
917,5.5,10,6,6.5,7,8.21
918, , , ,3.5, ,7.69
920,6,9.5,3.5,6.5,6.2,7.63
922,8,7.5,10,4.5,7.1,7.71
923,8,8.5,7,6,7,7.96
924,10,9, , , ,8.48
925,7.5, ,7.5,7.5, ,8.58
927,9,9,6,8,7.7,7.47
928,3.5,7.5,9.5,5,6.7,6.83
930,4,3.5,5,4,4.2,6.28
931,8, ,6,4.5, ,8.83
932,9,7.5,8,3.5,6.2,7.11
933,6,5.5,8.5,6.5,6.9,7.06
934,5,9,6,7.5,7.1,8.13
936,9,8,8.5,5,7.1,7.03
937,8,8.5,9,7.5,8.2,7.55
940,9,8,7,5,6.6,6.99
941,5.5,5,4,0,2.8,1.27
942,5,7,5,1,3.8,4.65
943,10,7.5,7,7,7.4,7.49
944,10,6,7,3.5,5.7,7.92
949,1.5,4.5,2.5, , ,7.12
950,9.5,8,8,5.5,7.2,6.69
952,9,8.5,8,5,7,5.76
953,10,10,8,9,9,8.42
955,6.5,7.5,7.5,5.5,6.6,6.57
956, , , ,0, ,3.2
958,10,8.5, , , ,8.59
960,10,5,7.5,0,4.3,6.01
962,10,8,8,7.5,8,9
963,7,4.5,5.5,4.5,5.1,6.61
964,5,4.5,7.5,5.5,5.9,6.84
966,6,4.5,5,3,4.2,5.85
969,10,5,7.5,4,5.9,6.04
970,4.5,4,5,3.5,4.2,4.4
971,8.5,7.5,8.5,8,8.1,8.7
973,8,9.5,9,3,6.6,5.76
976,10,10,10,9,9.6,8.71
977,9.5,9,9.5,7,8.4,6.96
978,6,7,7.5,6,6.7,8.19
981,6.5,7.5,4.5,4.5,5.3,6.68
984,8.5,9.5,9.5,4.5,7.4,7.53
986,9,5.5,8,5.5,6.6,6.81
988,10,8,5,9,7.7,8.26
989,7.5, ,8.5, , ,9.57
992,6,7.5,8,8.5,7.9,8.61
993,7,6,7.5,7,7,5.99
994,8.5,9.5,8,9,8.8,8.27
995,7.5,8,10, , ,8.99
997,8,5.5, ,6, ,8.88
1001,7.5,6,8,7.5,7.4,7.46
1002,4,9.5,5.5,3.5,5.4,6.86
1003,9,5,8,8,7.5,6.78
1004,10,8.5,7,8.5,8.2,8.11
1006,8.5,8,7.5,2.5,5.7,6.61
1007,10,10,10,9,9.6,9.49
1011,7,8,7.5,7,7.4,7.94
1012,0,4,3,2.5,2.7,3.72
1013,6.5,9.5, ,7.5, ,9.42
1015,10,6,7,5.5,6.5,6.98
1016,5,7,6,7,6.5,5.77
1017,8.5, ,7,7.5, ,8.36
1018,10,9.5,9.5,6,8.2,8.65
1021,3,6.5,6.5,4,5.2,6.33
1022,9,8,8,6.5,7.5,8.09
1023,10,8.5, , , ,8.86
1026,9,8, , , ,6.68
1027,9,8,8,9.5,8.7,8.94
1028,10,8.5, , , ,8.32
1030,5.5,9,4.5,3,4.9,6.42
1031,10,9.5,9.5,6,8.2,8.68
1034,9,9,9,5.5,7.6,7.11
1040,10,8.5,6,7.5,7.5,6.18
1042,9,6,6,8,7.1,7.83
1044,4.5,7,6.5, , ,6.87
1047,9,9.5,9.5,7,8.5,8.02
1048,10,7, , , ,6.63
1052,6.5, ,5,5.5, ,6.5
1053,7.5,8,7.5,5,6.6,6.8
1055,8.5,9.5,8,1.5,5.8,6.85
1056,10,6,5.5,5.5,6.1,7.66
1057,8,10,7,7.5,7.9,8.65
1058,10,9.5,4,8.5,7.5,7.29
1059,9,6,7.5,5,6.4,4.48
1060,8,7, ,7, ,8.94
1061,10,9.5,9.5,4.5,7.6,7.75
1062,6.5,5,8,4.5,5.9,5.02
1063,8.5,6.5,6.5,8.5,7.5,7.69
1064,10,7, , , ,6.62
1065,2.5,6,4.5,5.5,5,7.04
1067,7,9,8,8,8.1,7.95
1069,8.5, ,4,2, ,4.34
1071,9.5,8.5,9,7.5,8.4,7.72
1072,5,5,7.5,5,5.8,5.99
1074,8.5,5.5,9.5,9,8.4,8.41
1080,8.5,7.5,10,8.5,8.8,8.22
1081,9,6,6,7.5,6.9,6.98
1082,10,9.5,9.5,6.5,8.4,8.58
1083,3.5,3.5,2.5,2,2.6,3.72
1084,5.5,5.5,6,6.5,6.1,7.93
1086,5,5.5,7,6.5,6.3,6.07
1087,9.5,9,9,6,7.9,8.35
1088,6.5,6,6.5,4,5.4,8.18
1089,6,6.5,6,7,6.5,5.52
1091,8, ,4.5,3.5, ,5.18
1094,6.5,5,7.5,2.5,4.9,6.22
1097,9,8.5,5.5,8.5,7.7,7.45
1100,10,8,6,6,6.8,5.89
1101,5,4,6.5,5.5,5.5,6.03
1102,5,4.5,4.5,3.5,4.2,5.65
1120,8.5,7,8,9,8.3,7.58
1121,10,7,8,6.5,7.4,6.93
1122,9,9,6,0,4.5,4.93
1124,5,4,2,3.5,3.3,4.46
1125,6,6.5,8,6.5,6.9,5.9
1126,9.5,8,7,5,6.7,7.16
1128,8,6.5,10,8,8.3,7.09
1129,10,9, , , ,7.78
1130,10,7.5,9.5,8,8.6,7.34
1133,8, ,4.5,1, ,5.41
1134,10,9.5,9,8,8.8,8.77
1135,7,8.5,10,8,8.6,8.93
1143,4.5,5.5,5.5,1,3.6,3.88
1152,7,7.5,8.5,9,8.4,8.05
1153,9,4.5,7.5,8,7.3,7.04
1154,10,6.5,8,8,7.9,8.18
1155,9,6.5,5,6,6.1,7.06
1156,10,5.5,7,8.5,7.6,7.94
1160,9,10,7,8,8.2,8.51
1162,10,7.5, , , ,6.36
1165,7,5,5,4.5,5,6.48
1168,10,9,8,6.5,7.8,6.97
1169,9,6.5,8.5,6,7.2,7.41
1172,10,8, , , ,7.1
1174,10,7.5,10,8,8.7,8.49
1175,10,5.5,10,6.5,7.7,8.34
1178,2,4.5,4,5.5,4.5,5.68
1184,4.5,5.5,2.5,3,3.5,6.12
1186,5.5,5.5,6.5,2.5,4.6,5.85
1187,9.5,9,8.5,7.5,8.3,8.14
1191,5.5,8.5,9,6.5,7.6,7.79
1193,2.5,3,1,0,1.2,0.74
1194,10,9.5,9,7.5,8.6,7.88
1195,9,6.5, , , ,6.38
1196,10,5.5,9,3,6,6.91
1199,8.5,8,8.5,3,6.2,6.72
1200,8, ,8.5,5, ,6.49
1201,5,9,6,4,5.7,7.15
1203,5,7,10,6.5,7.5,7.23
1205,8.5,5,9,5,6.6,6.71
1211,10,8,8,7.5,8,7.04
1212,6.5,9,9.5, , ,7.99
1215,7.5,6,5,0,3.5,2.63
1216,6.5,10,5,5,6.2,8.2
1217,10,7.5, , , ,5.67
1219,9,8,10,9,9.1,8.25
1222,9,9.5,9,6.5,8.1,7.12
1224,10,9.5,10,7.5,8.9,7.42
1225,10,10,10, , ,7.44
1228,8.5, ,8.5,4.5, ,7.32
1229,10,4,6,6.5,6.2,6.26
1232,9,5.5,9,7.5,7.7,7.51
1233,8,9,10,8,8.8,7.63
1234,6.5,6.5,5,7.5,6.5,7.14
1236,10,6.5,6.5,8,7.5,7.69
1245,9,5.5,5,7.5,6.5,7.14
1246,8,4,9.5,8.5,7.9,8.18
1248,10,7,10,5,7.4,6.53
1250,9,6.5,5,7,6.5,5.41
1253,7,9.5,10,8.5,9,9.33
1255,8,8.5,9.5,8,8.6,7.04
1256,5,3.5,2,1.5,2.4,2.25
1257,10,8.5, , , ,6.36
1260,10,10,10,8.5,9.4,7.93
1262,10,5,8.5,9,8.2,8.07
1263,9,7.5,6,5.5,6.4,5.57
1266,3,6.5,5,7,5.9,6.77
1267,8.5, ,6.5,5.5, ,2.63
1268,10,8.5,10,9,9.3,9.64
1275,7.5, ,8,7.5, ,6.48
1277,8, ,8.5,7, ,7.68
1281,5.5,7,8,6,6.8,6.87
1287,9,6.5,8.5,5,6.8,6.67
1289,8,5,5.5,7.5,6.5,6.06
1292,7,7.5,10,8,8.4,6.5
1293,10,8.5,8.5,9,8.9,9.44
1294,7.5, ,8,8.5, ,6.38
1296,10,8,7,7.5,7.7,6.35
1297,9,6,5,6,6,7.07
1298,9.5,7,6.5,4,5.9,6.18
1299,4,5,3,4,3.9,6.5
1303,8,4.5,7.5,6.5,6.6,6.82
1305,10,6.5,9.5,4.5,7,7.33
1306,9,8,7,8,7.8,6.17
1307,8.5,8,9,8.5,8.6,7.28
1308,10,9, , , ,7.72
1311,9,7.5,5.5,4.5,5.9,5.61
1312,7,8,8,5.5,6.9,7.27
1314,10,9,9,6.5,8.1,7.28
1315,7.5,6.5,8.5,6.5,7.2,5.82
1316,9,7.5,7,9.5,8.3,7.93
1317,6,7.5,3.5,5,5.2,4.76
1319,10,7.5, , , ,3.9
1320,9,9.5,8.5,5,7.4,7.47
1324,9,6,6,5,5.9,6.24
1325,6.5, ,6.5, , ,7.07
1327,9,5,7,9,7.6,7.47
1328,8.5,7.5,9,9.5,8.9,8.53
1330,10,6,7,9,7.9,5.97
1334,5,7.5,10,8.5,8.4,7.76
1336,5,8,5,4,5.2,4.75
1337,10,3,6,4,5,4.24
1338,8,8,8.5,5,7,5.96
1339,10,9,9,6,7.9,7.69
1340,10,9, , , ,5.48
1341,10,6.5,9.5,9,8.8,6.89
1344,10,4.5, , , ,4.59
1346,8.5,9.5,9.5,8,8.8,7.48
1347,7,7,6.5,8,7.3,7.6
1353,5,6.5,5,6,5.7,5.82
1354,8,6,7,7.5,7.1,7.51
1356,8,5,9,7.5,7.5,8.48
1358,7.5,6,6,7.5,6.8,7.05
1359,9,8,8.5,8.5,8.5,8.89
1360,8,3,3,5.5,4.5,4.13
1362,1,5.5,6,7.5,6,3.22
1364,4,7.5,7,6,6.4,5.95
1365,5,3.5,3,3.5,3.5,1.92
1366,5,5,4.5,6,5.3,6.32
1367,7, ,7, , ,8.77
1368,10,8.5, , , ,4.76
1371,7.5,5.5,8.5,8.5,7.8,8.29
1373,5.5,7.5,6.5,7,6.8,6.57
1375,7,6.5,10,7.5,8,7.27
1376,8,5.5,4.5,4,4.9,5.29
1377,6.5,7,5.5,5.5,5.9,5.39
1378,8,5.5,8.5,5.5,6.7,4.47
1382,8,6.5,8.5,9,8.3,8.09
1386,9,10,10,8.5,9.3,7.99
1388,8.5,9.5,9,9,9.1,8.45
1389,8,7.5,10,7.5,8.3,6.39
1390,9,3,8.5,3,5.3,5.6
1391,8,4,7,6,6.1,7.35
1393,10,7,8.5,7,7.8,7.68
1394,8,9.5,9.5,8.5,9,8.36
1395,9,8,8,2,5.7,4.65
1396,6,5,8,7.5,7,6.51
1397,7.5,9,9,7,8.1,7.85
1399,7, ,8, , ,8.3
1402,10,5,8.5,6,7,4.66
1404,9,7,7,9.5,8.2,8.4
1405,9,10,10,9.5,9.7,7.84
1406,7.5, ,7.5, , ,8.37
1407,9,5.5,10,8.5,8.4,8.13
1408,7.5, ,7, , ,7.68
1411,9,7,8,8,7.9,8.41
1412,8,8.5,8.5,5.5,7.3,6.91
1413,9.5,9.5,9.5,6,8.1,7.79
1415,9,4,9,3,5.6,5.5
1416,9,7,7,8,7.6,6.84
1417,8,9.5,9.5,8.5,9,7.84
1420,6,10,10,8,8.8,9.21
1421,10,4,10,7.5,7.8,5.69
1424,5,7,4.5,4.5,5.1,3.78
1425,7, ,8.5, , ,7.65
1426,7.5,4,6.5,2.5,4.5,4.57
1427,7,5.5,5.5,5.5,5.7,6.76
1428,8, ,6.5,9, ,7.13
1429,7.5,10,10,8,9,8.19
1430,10,9,10,8,9,9.35
1432,9,6,7,5,6.2,6.56
1433,9,6.5,6.5,7.5,7.2,6.51
1434,6.5,7,5.5,5,5.7,7.12
1435,8.5, ,5.5,8, ,9.08
1436,9,6.5,6,8,7.2,8.45
1438,10,7.5,9,8.5,8.6,7.43
1439,6,7,6.5,8.5,7.4,7.41
1441,10,8.5,7.5,8.5,8.4,8.5
1443,7.5,5,5,2.5,4.3,5.31
1445,5,4,6,4.5,4.9,6.45
1449,8,9.5,9.5,9.5,9.4,9.18
1451,9.5,4.5,8.5,7,7.2,7.51
1452,0,9,8,6,6.6,7.05
1453,10,6.5,9,9,8.6,7.21
1454,7.5,5.5,6.5,7.5,6.8,6.57
1456,8,5.5,3,5.5,5,6.62
1458,7.5, ,6.5, , ,7.16
1459,9,6.5,10,9.5,9,8.59
1460,10,6,7.5,7.5,7.5,6.94
1463,6.5,8,7.5,5.5,6.7,4.12
1465,5,4,1.5,2.5,2.8,3.43
1466,8,10,10,7.5,8.8,7.06
1467,4.5,6,8.5,5.5,6.4,5.61
1468,8,6,8.5,9,8.2,8.5
1470,8,5.5,6,6,6.1,6.61
1471,2.5,2.5,1,0,1.1,3.83
1473,8.5,7.5,10,9,9,8.63
1474,6,8.5,6.5,5.5,6.5,7.25
1479,5.5,4.5,5,4,4.6,5.46
1481,8,7.5,8,7,7.5,6.94
1483,5, ,6,6, ,5.79
1484,10,8,10,8.5,9,8.3
1485,7,5,5,6.5,5.8,6.1
1487,10,7,7.5,7.5,7.7,7.73
1488,9,7.5,6,6.5,6.8,6.61
1489,7.5,4,8.5,7.5,7.1,5.86
1491,3.5,5.5,7.5,4,5.3,6.67
1492,8,3.5,0.5,8,4.9,2.94
1494,8,9.5,9.5,8,8.8,7.95
1495,5, ,0.5,1, ,3.78
1502,8.5,9.5,9.5,6.5,8.2,8.08
1503,7,9.5,8,0,5,4.77
1505,1,0,0.5,0,0.3,0.1
1506,7,7.5,4,9,7,7.51
1507,10,5,6.5,8,7.2,6.79
1511,10,8.5,9,9,9,8.99
1513,9,9.5,9.5,5,7.7,7.85
1514,8,9,9,7.5,8.3,7.64
1516,0,6.5,3.5,4,4,6.41
1517,5.5,8,8,7.5,7.6,7.75
1519,5,7.5,9,9,8.3,6.79
1521,9,9.5,9,8.5,8.9,7.81
1524,4,9.5,5,0.5,4,6.02
1528,8,10,10,8,9,7.36
1529,2.5,2,1.5,0,1.1,0.29
1531,9,6.5,9,8,8.1,5.89
1532,6.5,8.5,8.5,4.5,6.7,6.52
1533,9,5,6,5,5.7,7.18
1534,4.5,2.5,3,2.5,2.9,4.5
1537,6.5,8,9,9,8.6,7.82
1541,8,5,8.5,8,7.6,7.14
1544,8,7,7,4,5.9,6.08
1546,7.5, ,7, , ,9.36
1549,8,8.5,8.5,8.5,8.5,7.15
1551,9,9,7,7.5,7.8,8.11
1553,6,6.5,5,2,4.2,5.26
1554,10,5,7,4.5,5.9,6.58
1555,7,1.5,2,4,3.2,4.17
1557,8,1.5,0,2.5,2.1,3.53
1559,7,6,8,4.5,6.1,5.49
1560,8,7,3,2.5,4.1,3.55
1561,4.5,6.5,7,5,5.9,6.76
1562,8,6,8.5,8,7.8,7.73
1564,8,8.5,7,6,7,6.85
1565,8,5.5,5.5,3.5,5,5.39
1567,9,7.5,8,8,8,7.63
1570,8,6.5,8.5,9.5,8.5,8.38
1571,10,5.5,7,9.5,8,7.96
1572,8,4,7,7.5,6.7,7.8
1573,10,9,9,8,8.7,8.33
1575,8.5,6,7,8,7.4,6.14
1576,10,8.5,9.5,9,9.2,9.02
1577,8.5,9.5,9.5,8.5,9,8.06
1580,9,8.5,7,8.5,8.1,8.05
1581,8,9,9,7,8.1,8.18
1582,10,10,10,8,9.2,8.07
1583,9,4,7,6,6.2,6.97
1584,10,10,10,9,9.6,9.58
1586,10,6,8.5,9,8.4,8.55
1588,7,5,7,4,5.4,6.68
1598,9, ,9,6.5, ,5.99
1600,6.5,5.5,5.5,2.5,4.4,6.13
1601,9,8,10,5.5,7.7,6.75
1602,7.5,8,8,6,7.2,8.26
1603,8,7,10,9.5,9,8.99
1604,4.5,3,5.5,4,4.3,6.1
1605,10,9,9.5,9.5,9.5,7.98
1606,9,9,9,5,7.4,8
1607,10,8,9,7,8.1,7.73
1608,7,9,7,9.5,8.4,8.05
1609,10,10,10,9.5,9.8,9.1
1614,8,8.5,8.5,5,7.1,6.31
1616,10,10,10,8,9.2,8.38
1618,10,8.5,10,8.5,9.1,8.65
1619,6.5,9,5,0,4,6.37
1621,10,7,8.5,8.5,8.4,7.73
1622,8,5,5,4,4.9,6.8
1623,7.5,8.5,8.5,6.5,7.6,7.07
1624,6,9,8,7.5,7.8,8.4
1625,7,8,5,6,6.2,6.28
1627,8,4,7.5,8.5,7.3,8.42
1630,7,9.5,8.5,8.5,8.6,7.81
1631,10,9,9.5,8.5,9.1,7.78
1632,8,5,8.5,8.5,7.8,7.1
1633,7.5, ,9, , ,9.43
1634,5.5,6.5,7.5,6.5,6.7,7.27
1636,7.5, ,5,7, ,6.87
1638,10,9.5,9,8.5,9,7.1
1639,10,8.5,7,9.5,8.6,8.54
1641,8.5,9.5,7,9.5,8.7,9.04
1642,10,6.5,8,8,7.9,7.89
1644,5,8.5,5,1.5,4.3,6.38
1645,5,9,7,6,6.8,5.77
1646,10,8,10,8,8.8,8.62
1649,3, ,2,3.5, ,5.9
1650,10,5.5,9,5.5,7,5.51
1653,9,10,10,8,9.1,8.59
1654,10,9,9,6.5,8.1,7.63
1656,8,4.5,10,9.5,8.5,9.27
1658,8,10,7,9,8.5,8.7
1659,7.5,5.5,5.5,6.5,6.1,7.14
1660,9,10,8,8.5,8.7,9.03
1661,5.5, ,6, , ,9.17
1663,8,9.5,9.5,8,8.8,8.23
1664,10,9.5,10,9,9.5,9.08
1665,10,8.5,9,6.5,8,8.94
1666,5.5,9,9,8,8.3,8.83
1667,6,5,4.5,7,5.8,6.57
1668,7.5,9.5,5.5,4.5,6.1,6.55
1671,8.5,8.5,7,8,7.9,8.78
1672,10,5.5,4,5,5.3,6.83
1675,8,7,8.5,9.5,8.6,7.98
1676,10,8,10,7,8.4,9.08
1677,7,8,8,8,7.9,6.81
1678,8,1.5,1.5,2.5,2.6,5.25
1679,10,9, ,6, ,7.89
1680,9,8,8,8,8.1,8.64
1683,8,8,8,6,7.2,8.02
1684,5.5,9.5,6,6,6.7,7.76
1685,8.5,8.5,9.5,5,7.4,7.15
1687,8.5,9,9,9.5,9.2,8.66
1688,8,9.5,9.5,8.5,9,8.01
1689,9,9.5,9.5,9,9.3,7.97
1690,10,8,10,7.5,8.6,8.45
1691,10,9,6.5,7.5,7.8,8.77
1694,9,5,7.5,8.5,7.6,7.36
1697,6,7,8.5,5,6.6,6.93
1698,8,8.5,7.5,7,7.6,7.43
1699,9,9, ,7, ,6.22
1706,9.5,8.5,10,9.5,9.5,8.33
1710,7,9.5,9,8,8.5,8.05
1718,8,6,6,7.5,6.8,7.04
1723,,9.5,8.5,9,9,7.29
1755,2,1.5,2.5,2.5,2.3,4.12
1756,6,3.5,4.5,4.5,4.5,6.4
1757,0.5,0,0,0.5,0.3,1.88
1758,1.5,1,0,3,1.6,4.03
1759,5,3.5,5,3.5,4.1,3.72
1760,3.5,1,3.5,4.5,3.4,4.7
1761,4.5,1,2,6,3.7,3.06
1762,5,4.5,6.5,5,5.4,6.43
1764,6,8.5,8,5,6.7,3.36
1767, , ,5,4, ,7.37
1770,8,5,5,4.5,5.1,5.62
1771,0,5,4,5.5,4.4,6.4
1856,5,5.5,7,7.5,6.7,7.34
1857,5,4.5,10,4,6,6.03
1859,8,5,10,1.5,5.4,5.06
1862,5,6.5,1,7.5,5.1,4.71
1865,6.5, ,3,7.5, ,6.89
1866,9,7.5,2,5,5,7.05
